Source Data for Figure 6 
red:
Index	Real(z_j)	Imag(z_j)
44	-1.498413915387	-0.240402437913	1e-12	-1.56	0.01	1.58	3.15	4.72	1.0
45	-1.498413915387	0.240402437913	1e-12	-1.58	-0.01	1.56	3.13	4.70	1.0
46	-1.498379979920	0.253536262645	1e-12	2.23	3.80	5.37	6.94	8.51	1.0
47	-1.498379979920	-0.253536262645	1e-12	0.92	2.49	4.06	5.63	7.20	1.0
48	-1.498344367511	0.267039629271	1e-12	-0.25	1.32	2.89	4.46	6.03	1.0
49	-1.498344367511	-0.267039629271	1e-12	-2.89	-1.32	0.25	1.82	3.39	1.0
50	-1.498306617468	0.280947921906	1e-12	-2.71	-1.14	0.43	2.00	3.57	1.0
51	-1.498306617468	-0.280947921906	1e-12	-0.43	1.14	2.71	4.28	5.85	1.0
52	-1.498266239594	0.295300650461	1e-12	2.01	3.58	5.15	6.72	8.29	1.0
53	-1.498266239594	-0.295300650461	1e-12	1.14	2.71	4.28	5.85	7.42	1.0
54	-1.498222698566	-0.310142165508	1e-12	-1.86	-0.29	1.28	2.85	4.42	1.0
55	-1.498222698566	0.310142165508	1e-12	-1.28	0.29	1.86	3.43	5.00	1.0
56	-1.498175399285	-0.325522534071	1e-12	2.61	4.19	5.76	7.33	8.90	1.0
57	-1.498175399285	0.325522534071	1e-12	0.53	2.10	3.67	5.24	6.81	1.0
58	-1.498123665480	-0.341498614506	1e-12	0.25	1.82	3.39	4.96	6.53	1.0
59	-1.498123665480	0.341498614506	1e-12	2.89	4.46	6.03	7.60	9.17	1.0
60	-1.498066714188	0.358135397291	1e-12	-1.06	0.51	2.08	3.65	5.22	1.0
61	-1.498066714188	-0.358135397291	1e-12	-2.08	-0.51	1.06	2.63	4.20	1.0
62	-1.498003623959	-0.375507684154	1e-12	1.24	2.81	4.38	5.95	7.52	1.0
63	-1.498003623959	0.375507684154	1e-12	1.90	3.47	5.05	6.62	8.19	1.0
64	-1.497933293140	-0.393702223808	1e-12	-0.36	1.21	2.78	4.35	5.93	1.0
65	-1.497933293140	0.393702223808	1e-12	-2.78	-1.21	0.36	1.93	3.50	1.0
66	-1.497854383995	-0.412820455349	1e-12	-0.56	1.01	2.58	4.15	5.72	1.0
67	-1.497854383926	0.412820455322	1e-12	-2.58	-1.01	0.56	2.14	3.71	1.0
68	-1.497765248390	0.432982083595	1e-12	1.61	3.18	4.75	6.32	7.89	1.0
69	-1.497765245778	-0.432982082050	1e-12	1.53	3.10	4.68	6.25	7.82	1.0
70	-1.497663849835	-0.454329835627	1e-12	-2.56	-0.99	0.59	2.16	3.73	1.0
71	-1.497663817867	0.454329812915	1e-12	-0.59	0.99	2.56	4.13	5.70	1.0
72	-1.497547476813	0.477035682510	1e-12	-0.50	1.07	2.64	4.21	5.79	1.0
73	-1.497547289313	-0.477035535699	1e-12	-2.64	-1.07	0.50	2.07	3.64	1.0
74	-1.497413408143	-0.501310359159	1e-12	1.65	3.22	4.79	6.36	7.93	1.0
75	-1.497412793089	0.501309849137	1e-12	1.49	3.06	4.63	6.20	7.77	1.0
